,Name,Edad,Precio
0,Kylian Mbappé,21,"180,00 mill. €"
1,Raheem Sterling,25,"128,00 mill. €"
2,Neymar,28,"128,00 mill. €"
3,Sadio Mané,28,"120,00 mill. €"
4,Mohamed Salah,28,"120,00 mill. €"
5,Harry Kane,27,"120,00 mill. €"
6,Kevin De Bruyne,29,"120,00 mill. €"
7,Jadon Sancho,20,"117,00 mill. €"
8,Lionel Messi,33,"112,00 mill. €"
9,Trent Alexander-Arnold,22,"110,00 mill. €"
10,Antoine Griezmann,29,"96,00 mill. €"
11,Serge Gnabry,25,"90,00 mill. €"
12,Joshua Kimmich,25,"85,00 mill. €"
13,Romelu Lukaku,27,"85,00 mill. €"
14,João Félix,20,"81,00 mill. €"
15,Kai Havertz,21,"81,00 mill. €"
16,Alphonso Davies,19,"80,00 mill. €"
17,Erling Haaland,20,"80,00 mill. €"
18,Marcus Rashford,22,"80,00 mill. €"
19,Bernardo Silva,26,"80,00 mill. €"
20,N'Golo Kanté,29,"80,00 mill. €"
21,Paulo Dybala,26,"80,00 mill. €"
22,Virgil van Dijk,29,"80,00 mill. €"
23,Paul Pogba,27,"80,00 mill. €"
24,Jan Oblak,27,"80,00 mill. €"
25,Eden Hazard,29,"80,00 mill. €"
26,Frenkie de Jong,23,"72,00 mill. €"
27,Saúl Ñíguez,25,"72,00 mill. €"
28,Roberto Firmino,29,"72,00 mill. €"
29,Alisson,28,"72,00 mill. €"
30,Marc-André ter Stegen,28,"72,00 mill. €"
31,Lautaro Martínez,23,"70,00 mill. €"
32,Matthijs de Ligt,21,"70,00 mill. €"
33,Bruno Fernandes,26,"70,00 mill. €"
34,Leroy Sané,24,"70,00 mill. €"
35,Sergej Milinkovic-Savic,25,"65,00 mill. €"
36,Kalidou Koulibaly,29,"65,00 mill. €"
37,David Alaba,28,"65,00 mill. €"
38,Rodri,24,"64,00 mill. €"
39,Andrew Robertson,26,"64,00 mill. €"
40,Dele Alli,24,"64,00 mill. €"
41,Timo Werner,24,"64,00 mill. €"
42,Raphaël Varane,27,"64,00 mill. €"
43,Heung-min Son,28,"64,00 mill. €"
44,Casemiro,28,"64,00 mill. €"
45,Mikel Oyarzabal,23,"60,00 mill. €"
46,Dayot Upamecano,21,"60,00 mill. €"
47,Gianluigi Donnarumma,21,"60,00 mill. €"
48,Christian Pulisic,22,"60,00 mill. €"
49,Aymeric Laporte,26,"60,00 mill. €"
50,Leon Goretzka,25,"60,00 mill. €"
51,Stefan de Vrij,28,"60,00 mill. €"
52,Thibaut Courtois,28,"60,00 mill. €"
53,Marco Verratti,27,"60,00 mill. €"
54,Christian Eriksen,28,"60,00 mill. €"
55,Mauro Icardi,27,"60,00 mill. €"
56,Robert Lewandowski,32,"60,00 mill. €"
57,Cristiano Ronaldo,35,"60,00 mill. €"
58,Anthony Martial,24,"58,00 mill. €"
59,Gabriel Jesus,23,"56,00 mill. €"
60,Arthur,24,"56,00 mill. €"
61,Ousmane Dembélé,23,"56,00 mill. €"
62,José Giménez,25,"56,00 mill. €"
63,Ederson,27,"56,00 mill. €"
64,Fabinho,26,"56,00 mill. €"
65,Harry Maguire,27,"56,00 mill. €"
66,Philippe Coutinho,28,"56,00 mill. €"
67,Pierre-Emerick Aubameyang,31,"56,00 mill. €"
68,Nicolò Zaniolo,21,"55,00 mill. €"
69,James Maddison,23,"55,00 mill. €"
70,Achraf Hakimi,21,"54,00 mill. €"
71,Federico Valverde,22,"54,00 mill. €"
72,Richarlison,23,"52,00 mill. €"
73,Marquinhos,26,"52,00 mill. €"
74,Jorginho,28,"52,00 mill. €"
75,Sergio Agüero,32,"52,00 mill. €"
76,Renan Lodi,22,"50,00 mill. €"
77,Ansu Fati,17,"50,00 mill. €"
78,Rodrigo Bentancur,23,"50,00 mill. €"
79,Fabián Ruiz,24,"50,00 mill. €"
80,Diego Carlos,27,"50,00 mill. €"
81,Nicolò Barella,23,"50,00 mill. €"
82,Rúben Neves,23,"50,00 mill. €"
83,Milan Skriniar,25,"50,00 mill. €"
84,Lucas Ocampos,26,"50,00 mill. €"
85,Marcelo Brozovic,27,"50,00 mill. €"
86,Luis Alberto,28,"50,00 mill. €"
87,Houssem Aouar,22,"49,50 mill. €"
88,Declan Rice,21,"49,50 mill. €"
89,Davinson Sánchez,24,"48,00 mill. €"
90,Federico Chiesa,22,"48,00 mill. €"
91,Clément Lenglet,25,"48,00 mill. €"
92,Riyad Mahrez,29,"48,00 mill. €"
93,Niklas Süle,25,"48,00 mill. €"
94,Lorenzo Insigne,29,"48,00 mill. €"
95,Alexandre Lacazette,29,"48,00 mill. €"
96,Koke,28,"48,00 mill. €"
97,Thiago,29,"48,00 mill. €"
98,Toni Kroos,30,"48,00 mill. €"
99,Mason Greenwood,19,"45,00 mill. €"
100,Tanguy Ndombélé,23,"45,00 mill. €"
101,Rodrygo,19,"45,00 mill. €"
102,Ferran Torres,20,"45,00 mill. €"
103,Vinícius Júnior,20,"45,00 mill. €"
104,Benjamin Pavard,24,"45,00 mill. €"
105,Nicolas Pépé,25,"45,00 mill. €"
106,Theo Hernández,23,"45,00 mill. €"
107,Martin Ödegaard,21,"45,00 mill. €"
108,Alessandro Bastoni,21,"45,00 mill. €"
109,Lucas Hernández,24,"45,00 mill. €"
110,Wilfred Ndidi,23,"45,00 mill. €"
111,Ciro Immobile,30,"45,00 mill. €"
112,Miralem Pjanic,30,"45,00 mill. €"
113,Donny van de Beek,23,"44,00 mill. €"
114,Youri Tielemans,23,"44,00 mill. €"
115,Memphis Depay,26,"44,00 mill. €"
116,Wilfried Zaha,27,"44,00 mill. €"
117,Ibrahima Konaté,21,"40,50 mill. €"
118,Mason Mount,21,"40,50 mill. €"
119,Aaron Wan-Bissaka,22,"40,00 mill. €"
120,Dejan Kulusevski,20,"40,00 mill. €"
121,Phil Foden,20,"40,00 mill. €"
122,Victor Osimhen,21,"40,00 mill. €"
123,Carlos Soler,23,"40,00 mill. €"
124,Giovani Lo Celso,24,"40,00 mill. €"
125,Denis Zakaria,23,"40,00 mill. €"
126,Tammy Abraham,23,"40,00 mill. €"
127,Caglar Söyüncü,24,"40,00 mill. €"
128,Ben Chilwell,23,"40,00 mill. €"
129,Naby Keïta,25,"40,00 mill. €"
130,Marco Asensio,24,"40,00 mill. €"
131,Ferland Mendy,25,"40,00 mill. €"
132,Marcos Llorente,25,"40,00 mill. €"
133,Joe Gomez,23,"40,00 mill. €"
134,Alex Telles,27,"40,00 mill. €"
135,Iñaki Williams,26,"40,00 mill. €"
136,Kingsley Coman,24,"40,00 mill. €"
137,Nélson Semedo,26,"40,00 mill. €"
138,Thomas,27,"40,00 mill. €"
139,Moussa Dembélé,24,"40,00 mill. €"
140,José Gayà,25,"40,00 mill. €"
141,Hakim Ziyech,27,"40,00 mill. €"
142,Raúl Jiménez,29,"40,00 mill. €"
143,Jack Grealish,25,"40,00 mill. €"
144,Julian Brandt,24,"40,00 mill. €"
145,Wissam Ben Yedder,30,"40,00 mill. €"
146,Daniel Carvajal,28,"40,00 mill. €"
147,Rodrigo,29,"40,00 mill. €"
148,Kyle Walker,30,"40,00 mill. €"
149,Antonio Rüdiger,27,"40,00 mill. €"
150,Sergi Roberto,28,"40,00 mill. €"
151,Isco,28,"40,00 mill. €"
152,Duván Zapata,29,"40,00 mill. €"
153,Jordi Alba,31,"40,00 mill. €"
154,David de Gea,29,"40,00 mill. €"
155,Ilkay Gündogan,29,"40,00 mill. €"
156,Mateo Kovacic,26,"40,00 mill. €"
157,Georginio Wijnaldum,29,"40,00 mill. €"
158,Lukas Klostermann,24,"38,00 mill. €"
159,Eduardo Camavinga,17,"37,50 mill. €"
160,David Neres,23,"36,00 mill. €"
161,Éder Militão,22,"36,00 mill. €"
162,Jonathan Ikoné,22,"36,00 mill. €"
163,André Onana,24,"36,00 mill. €"
164,Alessio Romagnoli,25,"36,00 mill. €"
165,João Cancelo,26,"36,00 mill. €"
166,Sébastien Haller,26,"36,00 mill. €"
