,id,nombre,2015_alineaciones,2015_puntos_por_partido,2015_minutos_jugados,2015_minutos_por_gol,2015_minutos_por_asistencia,2016_alineaciones,2016_puntos_por_partido,2016_minutos_jugados,2016_minutos_por_gol,2016_minutos_por_asistencia,2017_alineaciones,2017_puntos_por_partido,2017_minutos_jugados,2017_minutos_por_gol,2017_minutos_por_asistencia,2018_alineaciones,2018_puntos_por_partido,2018_minutos_jugados,2018_minutos_por_gol,2018_minutos_por_asistencia,2019_alineaciones,2019_puntos_por_partido,2019_minutos_jugados,2019_minutos_por_gol,2019_minutos_por_asistencia
2,250426,adam-armstrong,40,1.5,3432,172,686,38,1.03,2118,353,530,44,1.64,2911,243,1456,48,1.25,3148,350,630,48,1.31,3663,215,523
3,267160,adam-buksa,9,0.78,383,383,383,22,1.5,958,319,958,23,1.52,1152,192,576,23,1.57,1946,177,486,44,1.57,3189,245,638
8,66058,admir-mehmedi,41,1.61,2154,308,269,30,1.2,1663,416,832,21,1.38,1284,428,257,28,1.79,1799,257,257,26,1.73,1631,544,326
9,177847,adnan-januzaj,26,1.88,1267,422,317,29,0.52,1956,978,652,35,1.23,2004,501,334,24,1.38,1475,738,369,29,1.72,1443,180,361
10,288318,adrian-embarba,32,0.88,2038,1019,679,33,1.36,2692,385,673,42,1.81,3469,434,267,36,0.86,2291,458,382,42,1.1,3403,378,227
12,203507,adrien-hunou,33,1.52,2807,401,468,26,1.42,1368,684,1368,31,1.61,1817,227,908,29,1.72,1799,164,1799,34,1.53,1776,161,1776
15,143045,alan-pulido,16,2.06,868,145,289,42,1.67,3134,224,1045,25,1.2,1799,300,1799,33,0.97,2510,279,1255,32,1.66,2743,144,457
16,167329,alassane-plea,19,1.68,1412,235,353,32,1.75,2328,166,776,49,1.24,4083,194,583,35,1.66,2598,173,650,33,1.73,2452,245,223
18,195906,albian-ajeti,23,1.39,1297,185,324,31,1.13,2238,203,560,37,1.95,2530,149,506,43,1.93,3240,154,295,15,0.73,669,335,334
19,51152,aleksandar-mitrovic,36,1.03,2230,248,558,29,1.93,1349,225,225,27,1.96,1910,136,1910,39,0.67,3377,307,1126,41,1.66,3620,139,1207
22,338425,alex-berenguer,39,1.56,1848,616,462,31,0.68,2251,1126,281,25,1.68,1238,619,310,34,1.71,1662,831,416,36,1.22,2363,394,591
23,242631,alex-iwobi,34,1.88,2220,370,444,39,2.0,2354,589,294,39,1.54,2645,882,378,51,1.86,2839,473,315,29,1.24,1941,971,1941
24,66515,alex-teixeira,68,1.96,6049,134,302,29,1.1,2487,226,414,31,1.58,2701,180,450,31,1.71,2787,155,253,20,1.9,1643,164,329
25,238407,alexander-sorloth,15,1.4,785,393,785,29,1.14,1192,298,397,30,1.9,2170,145,241,38,1.39,2366,394,592,49,1.88,4075,123,370
26,93720,alexandre-lacazette,44,1.57,3743,163,936,45,1.67,3477,94,695,39,1.77,2758,162,552,49,1.86,3327,175,256,39,1.51,2581,215,369
27,209649,alexandru-mitrita,22,1.59,635,635,159,17,0.71,513,513,171,38,1.68,2931,183,488,54,1.8,4209,162,526,18,1.56,1188,238,297
28,130485,alfredo-donnarumma,41,1.15,2526,194,421,31,1.06,1869,267,1869,39,2.0,2977,142,595,34,1.82,2792,103,399,32,0.69,1764,221,882
29,338962,alfredo-morelos,37,1.7,2954,114,369,25,2.28,1836,92,367,43,1.81,3116,173,390,48,1.85,3713,124,338,47,2.17,3322,115,332
30,294772,ali-gholizadeh,13,0.85,482,482,482,25,1.36,1318,1318,1318,29,1.76,2255,376,376,23,1.48,1359,680,272,25,1.8,1784,446,223
32,229736,alisson,20,1.55,1188,297,396,28,1.54,1890,945,378,34,1.88,2001,667,250,32,1.97,2453,491,273,21,1.62,1731,1731,346
34,128223,alvaro-morata,47,2.36,2377,198,216,43,2.44,1903,95,317,48,1.92,2794,186,466,41,2.0,2709,181,2709,44,1.84,2801,175,700
36,179860,andraz-sporar,19,2.21,1618,95,324,27,1.89,1377,197,275,26,1.77,1714,214,571,36,2.44,3184,94,354,44,1.86,3752,139,625
37,45403,andre-ayew,35,1.29,2943,245,589,26,1.08,1453,242,484,36,1.08,2361,394,472,38,1.45,2620,524,1310,47,1.53,4116,229,588
38,135057,andre-carrillo,7,2.29,609,609,203,32,2.28,1250,417,417,30,1.17,1662,831,831,33,2.36,2787,465,348,36,2.42,2522,420,315
39,120565,andre-gray,44,2.09,3625,145,362,36,0.97,2495,250,832,33,0.94,1605,321,535,34,1.44,1656,184,552,27,0.7,1121,561,1121
40,198008,andre-silva,43,1.49,3346,197,558,44,2.0,3399,162,425,40,1.73,2025,203,1012,40,1.73,2839,258,946,38,1.29,2563,160,513
41,167727,andrea-belotti,37,1.05,2749,229,458,38,1.53,3297,118,824,35,1.63,2951,227,590,39,1.67,3480,205,3480,44,1.07,3764,171,941
44,203412,andreas-cornelius,32,2.22,1837,306,918,49,2.22,3426,163,381,31,1.68,1192,199,1192,33,1.48,1239,310,620,27,1.41,1534,128,384
46,46580,andrej-kramaric,21,1.43,1409,235,352,36,1.81,2583,144,323,42,1.4,2928,225,325,37,1.35,2976,135,595,20,1.5,1509,126,377
48,61842,andros-townsend,27,1.11,1992,285,332,40,1.2,2820,940,403,39,1.21,3297,1649,366,45,1.42,3569,397,595,25,1.0,1379,1379,1379
49,122797,andy-delort,38,1.39,3349,258,1674,31,1.45,1904,212,1904,36,1.06,2628,526,526,38,1.53,3242,232,463,31,1.58,2684,224,895
