,id,nombre,2014_alineaciones,2014_puntos_por_partido,2014_minutos_jugados,2014_minutos_por_gol,2014_minutos_por_asistencia,2015_alineaciones,2015_puntos_por_partido,2015_minutos_jugados,2015_minutos_por_gol,2015_minutos_por_asistencia,2016_alineaciones,2016_puntos_por_partido,2016_minutos_jugados,2016_minutos_por_gol,2016_minutos_por_asistencia,2017_alineaciones,2017_puntos_por_partido,2017_minutos_jugados,2017_minutos_por_gol,2017_minutos_por_asistencia,2018_alineaciones,2018_puntos_por_partido,2018_minutos_jugados,2018_minutos_por_gol,2018_minutos_por_asistencia
2,250426,adam-armstrong,31,0.94,2006,182,287,40,1.5,3432,172,686,38,1.03,2118,353,530,44,1.64,2911,243,1456,48,1.25,3148,350,630
8,66058,admir-mehmedi,32,1.16,2563,366,2563,41,1.61,2154,308,269,30,1.2,1663,416,832,21,1.38,1284,428,257,28,1.79,1799,257,257
9,177847,adnan-januzaj,29,1.76,1685,337,421,26,1.88,1267,422,317,29,0.52,1956,978,652,35,1.23,2004,501,334,24,1.38,1475,738,369
10,288318,adrian-embarba,16,1.5,910,228,303,32,0.88,2038,1019,679,33,1.36,2692,385,673,42,1.81,3469,434,267,36,0.86,2291,458,382
16,167329,alassane-plea,35,1.2,2603,868,289,19,1.68,1412,235,353,32,1.75,2328,166,776,49,1.24,4083,194,583,35,1.66,2598,173,650
18,195906,albian-ajeti,35,1.66,2647,132,882,23,1.39,1297,185,324,31,1.13,2238,203,560,37,1.95,2530,149,506,43,1.93,3240,154,295
19,51152,aleksandar-mitrovic,51,1.88,4285,153,857,36,1.03,2230,248,558,29,1.93,1349,225,225,27,1.96,1910,136,1910,39,0.67,3377,307,1126
23,242631,alex-iwobi,25,1.48,2079,189,520,34,1.88,2220,370,444,39,2.0,2354,589,294,39,1.54,2645,882,378,51,1.86,2839,473,315
24,66515,alex-teixeira,37,1.95,3033,138,758,68,1.96,6049,134,302,29,1.1,2487,226,414,31,1.58,2701,180,450,31,1.71,2787,155,253
25,238407,alexander-sorloth,32,1.34,1976,141,329,15,1.4,785,393,785,29,1.14,1192,298,397,30,1.9,2170,145,241,38,1.39,2366,394,592
26,93720,alexandre-lacazette,40,2.03,3468,112,434,44,1.57,3743,163,936,45,1.67,3477,94,695,39,1.77,2758,162,552,49,1.86,3327,175,256
27,209649,alexandru-mitrita,29,1.38,2028,338,338,22,1.59,635,635,159,17,0.71,513,513,171,38,1.68,2931,183,488,54,1.8,4209,162,526
28,130485,alfredo-donnarumma,38,1.89,3118,142,390,41,1.15,2526,194,421,31,1.06,1869,267,1869,39,2.0,2977,142,595,34,1.82,2792,103,399
32,229736,alisson,21,1.62,1422,474,356,20,1.55,1188,297,396,28,1.54,1890,945,378,34,1.88,2001,667,250,32,1.97,2453,491,273
34,128223,alvaro-morata,46,2.17,2302,153,329,47,2.36,2377,198,216,43,2.44,1903,95,317,48,1.92,2794,186,466,41,2.0,2709,181,2709
35,96167,amin-younes,18,1.44,871,436,436,39,2.0,2559,284,256,48,1.98,3862,552,297,18,1.56,1272,424,424,16,1.75,545,182,182
36,179860,andraz-sporar,34,1.65,2869,221,574,19,2.21,1618,95,324,27,1.89,1377,197,275,26,1.77,1714,214,571,36,2.44,3184,94,354
37,45403,andre-ayew,30,1.83,2519,229,420,35,1.29,2943,245,589,26,1.08,1453,242,484,36,1.08,2361,394,472,38,1.45,2620,524,1310
38,135057,andre-carrillo,46,2.04,3091,442,172,7,2.29,609,609,203,32,2.28,1250,417,417,30,1.17,1662,831,831,33,2.36,2787,465,348
39,120565,andre-gray,50,1.56,3808,212,476,44,2.09,3625,145,362,36,0.97,2495,250,832,33,0.94,1605,321,535,34,1.44,1656,184,552
40,198008,andre-silva,35,1.26,2410,344,1205,43,1.49,3346,197,558,44,2.0,3399,162,425,40,1.73,2025,203,1012,40,1.73,2839,258,946
41,167727,andrea-belotti,39,1.26,1381,230,690,37,1.05,2749,229,458,38,1.53,3297,118,824,35,1.63,2951,227,590,39,1.67,3480,205,3480
44,203412,andreas-cornelius,33,1.88,2795,349,2795,32,2.22,1837,306,918,49,2.22,3426,163,381,31,1.68,1192,199,1192,33,1.48,1239,310,620
46,46580,andrej-kramaric,45,1.96,3199,103,1066,21,1.43,1409,235,352,36,1.81,2583,144,323,42,1.4,2928,225,325,37,1.35,2976,135,595
48,61842,andros-townsend,35,1.69,2017,336,336,27,1.11,1992,285,332,40,1.2,2820,940,403,39,1.21,3297,1649,366,45,1.42,3569,397,595
49,122797,andy-delort,27,0.96,1829,915,366,38,1.39,3349,258,1674,31,1.45,1904,212,1904,36,1.06,2628,526,526,38,1.53,3242,232,463
53,149237,anthony-knockaert,19,1.37,1216,405,304,48,1.77,4030,336,269,45,2.0,3813,254,424,37,1.27,2666,889,1333,36,1.03,2384,596,341
54,140803,anthony-limbombe,36,2.64,3035,190,276,34,1.44,2951,422,422,28,1.64,1506,1506,301,39,2.08,3180,530,454,33,1.55,1490,497,745
55,182877,anthony-martial,48,1.88,2560,213,512,56,1.68,4663,259,424,42,1.98,2517,315,315,45,2.04,2337,212,260,38,1.5,2327,194,776
56,125781,antoine-griezmann,53,1.96,3420,137,570,54,2.13,4380,137,626,53,2.02,4559,175,380,49,1.94,3872,134,258,48,1.96,4068,194,407
58,160668,antonio-colak,33,1.24,2541,254,1270,25,1.4,1063,152,532,24,0.54,1420,203,710,25,1.92,1478,211,211,30,2.03,1681,88,420
61,183720,anwar-el-ghazi,43,1.93,2872,287,319,37,2.03,2483,226,828,37,1.62,2172,272,434,31,0.97,1955,489,489,36,1.72,2628,438,438
62,222876,arber-zeneli,31,1.77,2384,238,298,23,1.52,1862,466,931,38,1.29,2874,411,479,25,1.72,1904,317,190,35,1.29,2401,343,172
65,289846,ashley-fletcher,8,1.75,398,133,398,31,2.29,1835,204,262,30,1.3,1390,348,695,38,1.08,2164,309,433,32,1.72,1932,138,1932
67,282694,augusto-solari,26,1.96,1457,1457,486,19,2.0,1601,801,320,36,1.72,2431,608,608,23,1.83,1362,454,195,27,1.85,1999,400,666
70,110858,benik-afobe,51,1.84,3701,116,370,42,1.31,3067,219,3067,33,1.21,1661,277,554,38,1.63,1536,219,768,49,1.2,3031,337,1516
71,112930,benito-raman,35,2.0,2088,232,522,30,1.77,1746,291,873,31,1.29,1821,304,1821,30,1.63,1753,175,584,32,1.44,1769,161,354
72,188180,benjamin-verbic,39,2.03,3241,203,295,32,2.19,1963,393,393,40,2.05,2535,423,845,42,1.83,3426,214,428,34,1.97,2893,241,723
73,175169,bernard,23,1.78,941,471,118,39,2.13,1935,323,215,37,2.51,2409,344,344,29,2.24,2242,224,560,36,1.44,2308,1154,577
74,241641,bernardo-silva,45,1.98,3073,307,768,44,1.5,3192,456,1064,58,2.34,4296,391,358,53,2.51,2795,311,254,51,2.63,4025,310,288
75,131996,bertrand-traore,37,2.0,2834,157,405,18,1.44,693,139,693,39,2.05,3074,236,512,43,2.05,3019,168,431,48,1.75,2717,247,543
76,186186,bobby-reid,38,1.5,3148,1049,350,30,1.07,1651,826,550,35,1.11,2084,521,1042,52,1.52,4364,208,546,29,0.83,1586,317,529
81,237662,breel-embolo,42,2.07,2789,164,215,40,2.0,3252,250,361,10,1.3,610,203,305,25,1.72,1101,367,367,28,1.11,1881,314,470
83,338889,brian-lozano,33,1.7,2288,254,763,20,1.6,1095,274,548,26,2.31,1047,262,1047,44,1.55,2977,744,298,42,1.52,3193,798,532
85,139396,bruma,33,1.91,2016,672,336,33,1.06,1538,513,1538,37,1.81,3116,283,346,40,1.48,2466,352,1233,27,1.78,1458,486,486
88,140952,caio-canedo,22,1.45,1927,120,642,23,1.57,2045,227,682,24,2.21,2077,148,519,22,1.82,1865,117,466,30,1.2,2633,188,439
89,199953,caleb-ekuban,37,0.97,2525,505,631,33,1.15,2150,538,717,42,1.86,3646,203,729,21,1.48,1080,540,1080,36,1.94,2055,257,685
94,127048,cedric-bakambu,39,1.69,2755,131,394,51,1.67,3034,138,1011,34,1.65,2024,184,1012,49,1.8,4075,110,582,26,1.81,2238,140,320
95,243856,cedric-itten,31,1.45,2084,149,695,30,1.5,1951,244,976,32,1.59,1759,440,293,38,1.63,1801,225,300,11,1.64,747,68,374
96,341647,cengiz-under,26,1.81,1744,349,349,32,1.16,2463,411,616,43,2.02,3292,366,470,32,1.84,1552,194,776,33,1.73,1892,315,189
102,50201,christian-benteke,35,1.14,2893,181,964,42,1.5,2232,223,372,40,1.18,3279,193,1640,31,1.23,2234,745,372,19,1.37,854,854,854
