,Id,Name,Edad,Precio
0,134425,raheem-sterling,25,"128,00 mill. €"
1,68290,neymar,28,"128,00 mill. €"
2,200512,sadio-mane,28,"120,00 mill. €"
3,148455,mohamed-salah,28,"120,00 mill. €"
4,132098,harry-kane,27,"120,00 mill. €"
5,159471,serge-gnabry,25,"90,00 mill. €"
6,96341,romelu-lukaku,27,"85,00 mill. €"
7,258923,marcus-rashford,23,"80,00 mill. €"
8,241641,bernardo-silva,26,"80,00 mill. €"
9,206050,paulo-dybala,26,"80,00 mill. €"
10,125781,antoine-griezmann,29,"80,00 mill. €"
11,91845,heung-min-son,28,"75,00 mill. €"
12,131789,roberto-firmino,29,"72,00 mill. €"
13,406625,lautaro-martinez,23,"70,00 mill. €"
14,192565,leroy-sane,24,"70,00 mill. €"
15,170527,timo-werner,24,"70,00 mill. €"
16,378710,richarlison,23,"60,00 mill. €"
17,363205,gabriel-jesus,23,"60,00 mill. €"
18,351478,mikel-oyarzabal,23,"60,00 mill. €"
19,182877,anthony-martial,24,"60,00 mill. €"
20,50202,eden-hazard,29,"60,00 mill. €"
21,68863,mauro-icardi,27,"55,00 mill. €"
22,288230,ousmane-dembele,23,"50,00 mill. €"
23,189441,lucas-ocampos,26,"50,00 mill. €"
24,145988,wilfried-zaha,27,"50,00 mill. €"
25,341092,federico-chiesa,23,"48,00 mill. €"
26,171424,riyad-mahrez,29,"48,00 mill. €"
27,133964,lorenzo-insigne,29,"48,00 mill. €"
28,203460,jack-grealish,25,"45,00 mill. €"
29,167850,memphis-depay,26,"45,00 mill. €"
30,105521,ciro-immobile,30,"45,00 mill. €"
31,93720,alexandre-lacazette,29,"42,00 mill. €"
32,343052,nicolas-pepe,25,"40,00 mill. €"
33,340950,diogo-jota,23,"40,00 mill. €"
34,331726,tammy-abraham,23,"40,00 mill. €"
35,306024,dominic-calvert-lewin,23,"40,00 mill. €"
36,296622,marco-asensio,24,"40,00 mill. €"
37,282411,marcos-llorente,25,"40,00 mill. €"
38,243714,kingsley-coman,24,"40,00 mill. €"
39,229004,moussa-dembele,24,"40,00 mill. €"
40,217111,hakim-ziyech,27,"40,00 mill. €"
41,206040,raul-jimenez,29,"40,00 mill. €"
42,204103,adama-traore,24,"40,00 mill. €"
43,146854,wissam-ben-yedder,30,"40,00 mill. €"
44,128223,alvaro-morata,28,"40,00 mill. €"
45,73794,duvan-zapata,29,"40,00 mill. €"
46,469822,david-neres,23,"36,00 mill. €"
47,396894,maxi-gomez,24,"35,00 mill. €"
48,266807,angel-correa,25,"35,00 mill. €"
49,167727,andrea-belotti,26,"35,00 mill. €"
50,106987,marcel-sabitzer,26,"35,00 mill. €"
51,316889,hirving-lozano,25,"33,00 mill. €"
52,318528,marcus-thuram,23,"32,00 mill. €"
53,272642,allan-saint-maximin,23,"32,00 mill. €"
54,187587,ante-rebic,27,"32,00 mill. €"
55,184892,florian-thauvin,27,"32,00 mill. €"
56,102226,thorgan-hazard,27,"32,00 mill. €"
57,324358,ollie-watkins,24,"30,00 mill. €"
58,323704,malcom,23,"30,00 mill. €"
59,255508,inaki-williams,26,"30,00 mill. €"
60,228645,wout-weghorst,28,"30,00 mill. €"
61,227081,joaquin-correa,26,"30,00 mill. €"
62,181375,sebastien-haller,26,"30,00 mill. €"
63,177467,gerard-moreno,28,"30,00 mill. €"
64,167329,alassane-plea,27,"30,00 mill. €"
65,131505,rodrigo,29,"30,00 mill. €"
66,125165,jesus-corona,27,"30,00 mill. €"
67,387626,leon-bailey,23,"29,50 mill. €"
68,314875,jarrod-bowen,23,"28,00 mill. €"
69,284165,steven-bergwijn,23,"28,00 mill. €"
