id,nombre,2015_alineaciones,2015_puntos_por_partido,2015_minutos_jugados,2015_minutos_por_gol,2015_minutos_por_asistencia,2016_alineaciones,2016_puntos_por_partido,2016_minutos_jugados,2016_minutos_por_gol,2016_minutos_por_asistencia,2017_alineaciones,2017_puntos_por_partido,2017_minutos_jugados,2017_minutos_por_gol,2017_minutos_por_asistencia,2018_alineaciones,2018_puntos_por_partido,2018_minutos_jugados,2018_minutos_por_gol,2018_minutos_por_asistencia,2019_alineaciones,2019_puntos_por_partido,2019_minutos_jugados,2019_minutos_por_gol,2019_minutos_por_asistencia,2015_mean,2015_median,2015_std,2015_min,2015_max,2016_mean,2016_median,2016_std,2016_min,2016_max,2017_mean,2017_median,2017_std,2017_min,2017_max,2018_mean,2018_median,2018_std,2018_min,2018_max,2019_mean,2019_median,2019_std,2019_min,2019_max
267160,adam-buksa,9,0.78,383,383,383,22,1.5,958,319,958,23,1.52,1152,192,576,23,1.57,1946,177,486,44,1.57,3189,245,638,200000.0,200000.0,0.0,200000.0,200000.0,187500.0,187500.0,53033.00858899106,150000.0,225000.0,212500.0,212500.0,17677.66952966369,200000.0,225000.0,683333.3333333334,750000.0,354729.9442298794,300000.0,1000000.0,3150000.0,3150000.0,494974.74683058326,2800000.0,3500000.0
66058,admir-mehmedi,41,1.61,2154,308,269,30,1.2,1663,416,832,21,1.38,1284,428,257,28,1.79,1799,257,257,26,1.73,1631,544,326,6000000.0,6000000.0,1000000.0,5000000.0,7000000.0,4166666.6666666665,4000000.0,763762.6158259733,3500000.0,5000000.0,4500000.0,5000000.0,866025.4037844386,3500000.0,5000000.0,7666666.666666667,8000000.0,2516611.4784235833,5000000.0,10000000.0,9000000.0,9000000.0,1414213.562373095,8000000.0,10000000.0
177847,adnan-januzaj,26,1.88,1267,422,317,29,0.52,1956,978,652,35,1.23,2004,501,334,24,1.38,1475,738,369,29,1.72,1443,180,361,7500000.0,7500000.0,707106.7811865475,7000000.0,8000000.0,7000000.0,7000000.0,0.0,7000000.0,7000000.0,10166666.666666666,10000000.0,1755942.2921421232,8500000.0,12000000.0,15000000.0,15000000.0,0.0,15000000.0,15000000.0,10750000.0,10750000.0,1767766.9529663688,9500000.0,12000000.0
288318,adrian-embarba,32,0.88,2038,1019,679,33,1.36,2692,385,673,42,1.81,3469,434,267,36,0.86,2291,458,382,42,1.1,3403,378,227,1000000.0,1000000.0,0.0,1000000.0,1000000.0,1500000.0,1500000.0,0.0,1500000.0,1500000.0,2333333.3333333335,2500000.0,288675.1345948129,2000000.0,2500000.0,3500000.0,3500000.0,500000.0,3000000.0,4000000.0,5500000.0,5500000.0,1500000.0,4000000.0,7000000.0
203507,adrien-hunou,33,1.52,2807,401,468,26,1.42,1368,684,1368,31,1.61,1817,227,908,29,1.72,1799,164,1799,34,1.53,1776,161,1776,1250000.0,1250000.0,0.0,1250000.0,1250000.0,1750000.0,2000000.0,433012.7018922193,1250000.0,2000000.0,3500000.0,3500000.0,0.0,3500000.0,3500000.0,4750000.0,4750000.0,1767766.9529663688,3500000.0,6000000.0,5400000.0,5400000.0,848528.137423857,4800000.0,6000000.0
143045,alan-pulido,16,2.06,868,145,289,42,1.67,3134,224,1045,25,1.2,1799,300,1799,33,0.97,2510,279,1255,32,1.66,2743,144,457,1500000.0,1500000.0,0.0,1500000.0,1500000.0,2500000.0,2500000.0,0.0,2500000.0,2500000.0,3500000.0,3500000.0,0.0,3500000.0,3500000.0,3750000.0,3750000.0,353553.39059327374,3500000.0,4000000.0,5500000.0,5500000.0,1500000.0,4000000.0,7000000.0
167329,alassane-plea,19,1.68,1412,235,353,32,1.75,2328,166,776,49,1.24,4083,194,583,35,1.66,2598,173,650,33,1.73,2452,245,223,4250000.0,4250000.0,353553.39059327374,4000000.0,4500000.0,9000000.0,9500000.0,3559026.084010437,5000000.0,12000000.0,16500000.0,16500000.0,2121320.343559643,15000000.0,18000000.0,29750000.0,29000000.0,6238322.424070966,23000000.0,38000000.0,27000000.0,27000000.0,4242640.687119286,24000000.0,30000000.0
195906,albian-ajeti,23,1.39,1297,185,324,31,1.13,2238,203,560,37,1.95,2530,149,506,43,1.93,3240,154,295,15,0.73,669,335,334,1000000.0,1000000.0,0.0,1000000.0,1000000.0,1166666.6666666667,1000000.0,288675.1345948129,1000000.0,1500000.0,2416666.6666666665,2500000.0,877971.1460710616,1500000.0,3250000.0,6250000.0,6500000.0,957427.1077563381,5000000.0,7000000.0,5400000.0,5400000.0,848528.137423857,4800000.0,6000000.0
51152,aleksandar-mitrovic,36,1.03,2230,248,558,29,1.93,1349,225,225,27,1.96,1910,136,1910,39,0.67,3377,307,1126,41,1.66,3620,139,1207,14000000.0,14000000.0,0.0,14000000.0,14000000.0,10666666.666666666,10000000.0,1154700.5383792515,10000000.0,12000000.0,11500000.0,11500000.0,4949747.468305833,8000000.0,15000000.0,23250000.0,25000000.0,3500000.0,18000000.0,25000000.0,22500000.0,22500000.0,3535533.9059327375,20000000.0,25000000.0
338425,alex-berenguer,39,1.56,1848,616,462,31,0.68,2251,1126,281,25,1.68,1238,619,310,34,1.71,1662,831,416,36,1.22,2363,394,591,300000.0,300000.0,0.0,300000.0,300000.0,2500000.0,1000000.0,3041381.26514911,500000.0,6000000.0,5500000.0,5500000.0,707106.7811865475,5000000.0,6000000.0,5500000.0,5500000.0,707106.7811865475,5000000.0,6000000.0,5400000.0,5400000.0,848528.137423857,4800000.0,6000000.0
242631,alex-iwobi,34,1.88,2220,370,444,39,2.0,2354,589,294,39,1.54,2645,882,378,51,1.86,2839,473,315,29,1.24,1941,971,1941,1000000.0,1000000.0,0.0,1000000.0,1000000.0,8000000.0,9000000.0,2828427.12474619,4000000.0,10000000.0,12500000.0,12500000.0,3535533.9059327375,10000000.0,15000000.0,22666666.666666668,25000000.0,4041451.88432738,18000000.0,25000000.0,29833333.333333332,32000000.0,3752776.7497325675,25500000.0,32000000.0
66515,alex-teixeira,68,1.96,6049,134,302,29,1.1,2487,226,414,31,1.58,2701,180,450,31,1.71,2787,155,253,20,1.9,1643,164,329,22666666.666666668,20000000.0,6429100.507328637,18000000.0,30000000.0,18333333.333333332,19000000.0,1154700.5383792515,17000000.0,19000000.0,15000000.0,15000000.0,4242640.687119286,12000000.0,18000000.0,19000000.0,19000000.0,0.0,19000000.0,19000000.0,15833333.333333334,17000000.0,2020725.94216369,13500000.0,17000000.0
